true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.652,0.619,0.188,0.275,25.8,88.9,59.7,58.7,10.0,9.1,17.5,100.0,117.5,107.4
0.601,0.587,0.36,0.081,11.1,74.2,40.3,68.2,13.1,9.2,16.0,100.0,107.4,117.5
0.505,0.451,0.319,0.297,20.4,78.4,45.3,55.6,6.2,5.2,8.0,100.0,107.2,111.3
0.593,0.565,0.247,0.416,21.6,79.6,54.7,50.0,5.2,11.3,13.3,100.0,111.3,107.2
0.519,0.506,0.224,0.176,30.0,69.0,50.0,37.5,9.3,4.3,17.9,100.0,98.5,113.0
0.563,0.538,0.231,0.143,31.0,70.0,50.0,67.4,13.5,6.1,14.2,100.0,113.0,98.5
0.491,0.462,0.423,0.218,16.3,86.0,51.2,51.6,9.2,5.8,19.7,100.0,86.2,99.5
0.56,0.513,0.325,0.286,14.0,83.7,48.8,73.5,12.3,8.9,17.2,100.0,99.5,86.2
0.496,0.45,0.138,0.363,23.8,78.9,50.0,60.0,11.8,6.1,13.1,100.0,99.0,101.1
0.558,0.449,0.279,0.544,21.1,76.2,50.0,50.0,5.4,11.6,17.6,100.0,101.1,99.0
0.523,0.479,0.26,0.24,26.0,75.0,52.7,68.3,5.7,13.3,11.7,100.0,106.4,84.3
0.4,0.375,0.25,0.23,25.0,74.0,47.3,54.3,5.7,12.7,10.6,100.0,84.3,106.4
0.577,0.563,0.264,0.126,20.5,77.6,52.3,73.9,11.2,10.8,14.8,100.0,107.6,89.3
0.476,0.446,0.226,0.226,22.4,79.5,47.7,73.5,10.2,7.8,17.1,100.0,89.3,107.6
0.604,0.549,0.268,0.341,35.1,68.6,51.4,75.0,11.7,0.0,14.5,100.0,121.2,125.4
0.635,0.574,0.324,0.581,31.4,64.9,48.6,64.9,9.6,10.0,14.7,100.0,125.4,121.2
0.535,0.513,0.286,0.156,13.5,67.4,43.4,61.8,7.7,10.9,17.1,100.0,97.1,111.4
0.527,0.482,0.238,0.321,32.6,86.5,56.6,60.5,7.7,12.7,9.4,100.0,111.4,97.1
0.525,0.483,0.349,0.221,30.4,77.5,52.3,55.3,12.3,10.7,11.3,100.0,110.7,92.8
0.499,0.452,0.233,0.315,22.5,69.6,47.7,46.7,11.2,3.6,17.0,100.0,92.8,110.7
0.579,0.538,0.333,0.346,9.5,75.0,41.5,47.4,8.1,8.2,15.1,100.0,104.8,95.7
0.538,0.506,0.238,0.238,25.0,90.5,58.5,69.4,6.0,7.7,19.9,100.0,95.7,104.8
0.528,0.472,0.227,0.295,17.0,80.0,47.8,51.3,3.9,6.8,11.6,100.0,103.5,118.3
0.6,0.576,0.359,0.196,20.0,83.0,52.2,54.3,8.9,7.4,9.9,100.0,118.3,103.5
0.539,0.5,0.242,0.189,27.1,68.9,47.3,52.4,8.4,10.4,8.0,100.0,116.4,114.3
0.539,0.464,0.202,0.464,31.1,72.9,52.7,67.6,7.3,8.3,9.8,100.0,114.3,116.4
0.633,0.599,0.267,0.337,25.6,78.2,56.4,61.4,4.0,2.7,10.8,100.0,125.2,101.2
0.466,0.418,0.247,0.268,21.8,74.4,43.6,44.7,8.0,7.9,6.9,100.0,101.2,125.2
0.547,0.53,0.349,0.181,18.2,80.0,47.6,56.8,6.2,0.0,17.5,100.0,101.0,109.3
0.57,0.547,0.302,0.186,20.0,81.8,52.4,61.9,10.3,13.0,11.4,100.0,109.3,101.0
0.551,0.519,0.215,0.392,26.3,79.5,53.2,52.6,9.2,11.3,16.3,100.0,104.2,93.0
0.5,0.442,0.312,0.416,20.5,73.7,46.8,56.3,10.2,4.8,16.5,100.0,93.0,104.2
0.522,0.512,0.244,0.081,29.7,85.4,61.2,47.6,5.5,8.2,15.2,100.0,101.4,103.6
0.493,0.464,0.274,0.333,14.6,70.3,38.8,60.0,12.0,7.7,4.9,100.0,103.6,101.4
0.537,0.5,0.314,0.384,26.5,77.8,48.2,56.8,4.3,3.8,9.0,100.0,114.8,125.4
0.661,0.625,0.316,0.395,22.2,73.5,51.8,54.8,8.5,5.1,12.7,100.0,125.4,114.8
0.615,0.595,0.278,0.114,26.7,64.1,47.8,61.9,9.1,7.3,16.2,100.0,116.4,117.5
0.575,0.544,0.304,0.304,35.9,73.3,52.2,69.2,11.4,10.5,13.5,100.0,117.5,116.4
0.502,0.469,0.173,0.173,38.5,75.5,57.1,59.5,5.3,17.2,9.4,100.0,112.9,104.3
0.474,0.469,0.347,0.122,24.5,61.5,42.9,59.5,9.6,11.1,6.3,100.0,104.3,112.9
0.587,0.553,0.36,0.307,18.4,74.4,46.8,61.1,12.5,14.5,21.3,100.0,104.0,87.4
0.489,0.364,0.214,0.514,25.6,81.6,53.2,62.5,14.6,10.4,19.7,100.0,87.4,104.0
