team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,2018-03-06,240,47,83,11,23,9,11,5,36,30,8,7,17,18
NEW ORLEANS PELICANS,2018-03-06,240,46,103,13,30,16,18,9,42,39,11,12,8,20
LOS ANGELES CLIPPERS,2018-03-06,240,46,99,7,27,17,26,10,47,25,5,2,13,18
HOUSTON ROCKETS,2018-03-06,240,38,72,17,33,29,34,7,30,25,11,7,20,20
OKLAHOMA CITY THUNDER,2018-03-06,240,46,93,12,34,8,11,12,22,18,12,4,19,28
NEW YORK KNICKS,2018-03-06,240,35,83,7,19,10,15,9,30,21,7,7,14,19
PORTLAND TRAIL BLAZERS,2018-03-06,240,35,81,20,33,21,24,15,36,22,4,4,19,15
ATLANTA HAWKS,2018-03-06,240,34,80,6,21,16,21,12,32,22,8,6,21,25
TORONTO RAPTORS,2018-03-06,240,34,88,10,36,28,33,17,28,25,12,8,12,21
MIAMI HEAT,2018-03-06,265,42,94,9,33,20,27,13,28,26,11,3,14,24
WASHINGTON WIZARDS,2018-03-06,265,40,80,14,24,23,27,8,33,25,7,3,18,22
MEMPHIS GRIZZLIES,2018-03-07,240,40,82,10,29,20,25,9,24,24,12,3,14,26
CHICAGO BULLS,2018-03-07,240,42,79,11,29,24,32,9,32,25,10,1,20,22
CLEVELAND CAVALIERS,2018-03-07,240,44,87,13,29,12,18,7,28,25,10,4,10,19
DENVER NUGGETS,2018-03-07,240,42,86,10,27,14,18,14,37,22,7,2,21,16
TORONTO RAPTORS,2018-03-07,265,45,101,12,40,19,21,11,36,33,9,7,9,20
DETROIT PISTONS,2018-03-07,265,44,90,13,26,18,23,9,42,27,2,7,16,23
UTAH JAZZ,2018-03-07,240,41,80,11,31,11,16,7,35,30,9,5,12,18
INDIANA PACERS,2018-03-07,240,34,88,3,23,13,17,14,31,12,9,3,12,17
ORLANDO MAGIC,2018-03-07,240,42,84,12,28,11,19,8,35,31,5,4,16,22
