team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,season
PHILADELPHIA 76ERS,2013-11-04,240,31,88,5,25,23,37,14,38,19,9,3,24,18,0.43200000000000005,0.381,0.284,0.42,25.5,74.5,49.1,61.3,8.2,5.6,18.7,100,82.1,100.3,2013-2014
UTAH JAZZ,2013-11-05,240,31,82,4,18,22,30,19,28,17,6,3,20,24,0.462,0.402,0.22,0.366,40.4,71.8,54.7,54.8,6.4,4.5,17.4,100,94.5,111.7,2013-2014
BROOKLYN NETS,2013-11-05,240,40,78,4,11,20,32,11,28,23,11,3,15,27,0.565,0.5379999999999999,0.141,0.41,28.2,59.6,45.3,57.5,11.8,4.7,14.0,100,111.7,94.5,2013-2014
LOS ANGELES LAKERS,2013-11-05,240,39,88,12,31,14,20,9,26,21,9,4,14,12,0.537,0.511,0.35200000000000004,0.22699999999999998,18.4,72.2,41.2,53.8,9.1,6.0,12.6,100,104.7,123.9,2013-2014
DALLAS MAVERICKS,2013-11-05,240,49,94,13,27,12,14,10,40,34,10,3,12,14,0.614,0.59,0.287,0.149,27.8,81.6,58.8,69.4,10.1,5.3,10.7,100,123.9,104.7,2013-2014
SAN ANTONIO SPURS,2013-11-05,240,40,86,4,16,18,20,8,31,27,14,9,16,22,0.5379999999999999,0.488,0.18600000000000003,0.233,18.6,75.6,46.4,67.5,13.9,14.1,14.4,100,101.3,93.4,2013-2014
DENVER NUGGETS,2013-11-05,240,35,83,9,19,15,20,10,35,22,4,4,22,23,0.512,0.47600000000000003,0.22899999999999998,0.24100000000000002,24.4,81.4,53.6,62.9,4.0,5.7,19.3,100,93.4,101.3,2013-2014
INDIANA PACERS,2013-11-05,240,38,73,9,21,14,23,4,41,26,6,9,18,21,0.596,0.5820000000000001,0.28800000000000003,0.315,12.1,75.9,51.7,68.4,6.2,14.5,17.8,100,102.7,94.4,2013-2014
DETROIT PISTONS,2013-11-05,240,33,87,5,25,20,25,13,29,13,10,6,14,24,0.46399999999999997,0.408,0.287,0.287,24.1,87.9,48.3,39.4,10.4,11.5,12.5,100,94.4,102.7,2013-2014
PHOENIX SUNS,2013-11-05,240,39,78,12,25,14,22,7,34,25,10,4,15,20,0.593,0.5770000000000001,0.321,0.282,17.9,81.0,50.6,64.1,10.5,6.0,14.6,100,109.4,103.1,2013-2014
NEW ORLEANS PELICANS,2013-11-05,240,37,85,10,18,14,19,8,32,26,12,11,13,20,0.525,0.494,0.212,0.22399999999999998,19.0,82.1,49.4,70.3,12.6,20.8,12.2,100,103.1,109.4,2013-2014
CHARLOTTE BOBCATS,2013-11-05,240,30,71,8,21,34,42,16,35,17,9,5,22,25,0.57,0.479,0.29600000000000004,0.5920000000000001,42.1,76.1,60.7,56.7,9.8,9.3,19.7,100,110.6,105.1,2013-2014
NEW YORK KNICKS,2013-11-05,240,35,82,8,28,19,23,11,22,12,11,4,14,27,0.526,0.47600000000000003,0.341,0.28,23.9,57.9,39.3,34.3,11.9,8.0,13.2,100,105.1,110.6,2013-2014
HOUSTON ROCKETS,2013-11-05,240,41,75,6,22,28,34,10,37,17,6,3,20,27,0.645,0.5870000000000001,0.293,0.45299999999999996,34.5,77.1,61.0,41.5,6.1,5.4,18.2,100,118.3,103.0,2013-2014
