team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
PHOENIX SUNS,2014-10-31,240,35,87,2,18,22,26,12,38,15,2,5,7,21,0.477,0.414,0.207,0.299,23.1,88.4,52.6,42.9,2.2,9.4,6.6,100,101.6,96.2
PORTLAND TRAIL BLAZERS,2014-10-31,240,34,83,9,26,17,19,10,28,20,5,8,10,26,0.514,0.464,0.313,0.229,22.2,66.7,43.7,58.8,5.6,11.3,9.9,100,106.1,116.3
SACRAMENTO KINGS,2014-10-31,240,34,81,4,10,31,35,14,35,14,6,2,10,24,0.534,0.444,0.123,0.432,33.3,77.8,56.3,41.2,6.8,3.5,9.4,100,116.3,106.1
INDIANA PACERS,2014-11-01,240,31,81,12,32,18,21,11,33,25,5,5,18,26,0.51,0.457,0.395,0.259,24.4,91.7,54.3,80.6,5.4,10.2,16.6,100,99.2,110
ATLANTA HAWKS,2014-11-01,240,35,69,7,20,25,33,3,34,26,10,6,12,20,0.611,0.558,0.29,0.478,8.3,75.6,45.7,74.3,10.8,12.2,12.6,100,110,99.2
MEMPHIS GRIZZLIES,2014-11-01,240,29,80,3,11,10,13,9,36,16,8,0,18,22,0.414,0.381,0.138,0.163,18.8,87.8,50.6,55.2,8.6,0,17.4,100,76.3,74.1
CHARLOTTE HORNETS,2014-11-01,240,26,72,4,14,13,18,5,39,17,10,4,20,16,0.432,0.389,0.194,0.25,12.2,81.3,49.4,65.4,10.7,5.8,20,100,74.1,76.3
BROOKLYN NETS,2014-11-01,240,42,87,7,26,11,13,12,36,18,3,3,8,23,0.55,0.523,0.299,0.149,27.9,78.3,53.9,42.9,3.5,5.1,7.9,100,117.6,103.7
DETROIT PISTONS,2014-11-01,240,32,76,1,17,25,35,10,31,21,3,3,7,15,0.492,0.428,0.224,0.461,21.7,72.1,46.1,65.6,3.5,4.9,7.1,100,103.7,117.6
LOS ANGELES LAKERS,2014-11-01,240,41,88,4,14,18,25,17,20,21,9,3,22,27,0.525,0.489,0.159,0.284,35.4,62.5,46.3,51.2,8.9,5,18.2,100,103.2,126
